PLAYER_ID,PLAYER_NAME,TEAM_ID,POSITION,GP,MIN,ast_tov_ratio,late_clock_efficiency,clutch_ast_tov,efg_pct,deflections_per_36,screen_assists_per_36,shooting_foul_pct,personal_foul_rate,age,ast_pct
1628983,Shai Gilgeous-Alexander,1610612760,PG,76,34.200,2.667,0.404,3.000,0.567,2.780,0.260,11.767,2.300,26,31.300
203507,Giannis Antetokounmpo,1610612749,PF,67,34.200,2.097,0.503,4.000,0.604,1.580,2.180,9.457,2.400,30,36.000
203999,Nikola Jokić,1610612743,C,70,36.700,3.091,0.465,2.200,0.626,3.800,4.360,10.837,2.200,29,44.100
1629029,Luka Dončić,1610612747,PG,50,35.400,2.139,0.391,3.000,0.534,3.380,0.200,17.570,2.600,25,36.100
1630162,Anthony Edwards,1610612750,SG,79,36.300,1.406,0.359,0.750,0.547,2.160,0.160,7.663,1.900,23,20.900
1628369,Jayson Tatum,1610612738,PF,72,36.400,2.069,0.392,2.667,0.539,2.100,0.400,7.933,2.200,26,27.000
201142,Kevin Durant,1610612756,PF,62,36.500,1.355,0.562,3.000,0.597,1.480,0.400,9.193,1.700,36,19.600
1630178,Tyrese Maxey,1610612755,PG,52,37.700,2.542,0.371,2.500,0.512,2.650,0.250,9.528,2.100,24,28.000
1630595,Cade Cunningham,1610612765,PG,70,35.000,2.068,0.439,1.000,0.522,2.110,0.330,11.956,2.900,23,43.000
1628973,Jalen Brunson,1610612752,PG,65,35.400,2.920,0.442,3.333,0.549,1.460,0.280,9.744,2.200,28,32.300
1631094,Paolo Banchero,1610612753,PF,46,34.400,1.600,0.367,1.000,0.503,1.280,0.740,12.410,2.200,22,26.000
1626164,Devin Booker,1610612756,SG,75,37.300,2.448,0.418,5.000,0.524,1.510,0.400,11.254,2.600,28,30.600
1630163,LaMelo Ball,1610612766,PG,47,32.000,2.056,0.274,4.000,0.493,2.940,0.400,10.187,3.800,23,43.800
203081,Damian Lillard,1610612749,PG,58,36.100,2.536,0.331,2.000,0.550,2.970,0.160,10.181,1.700,34,29.700
203076,Anthony Davis,1610612742,C,51,33.400,1.591,0.345,1.500,0.537,2.140,3.140,80.537,2.100,31,18.300
202681,Kyrie Irving,1610612742,SG,50,36.100,2.091,0.429,1.333,0.548,3.300,0.480,9.768,2.000,32,20.500
1629627,Zion Williamson,1610612740,PF,30,28.600,1.767,0.514,1.667,0.571,2.630,0.870,20.181,3.400,24,36.600
201939,Stephen Curry,1610612744,PG,70,32.200,2.069,0.421,1.000,0.572,2.270,0.710,9.012,1.500,36,31.300
1626157,Karl-Anthony Towns,1610612752,C,72,35.000,1.148,0.507,1.500,0.586,2.070,2.460,23.756,3.600,29,13.800
2544,LeBron James,1610612747,SF,70,34.900,2.216,0.422,3.000,0.572,1.890,0.830,6.810,1.500,40,40.300
1641705,Victor Wembanyama,1610612759,C,46,33.200,1.156,0.380,1.000,0.562,3.370,1.390,15.021,2.500,21,18.300
1630532,Franz Wagner,1610612753,SF,60,33.700,2.043,0.354,1.000,0.508,2.230,0.330,12.735,2.600,23,26.600
1629027,Trae Young,1610612737,PG,76,36.000,2.468,0.312,2.500,0.489,2.040,0.230,10.303,1.900,26,46.400
1630560,Cam Thomas,1610612751,SG,25,31.200,1.520,0.372,0.333,0.514,0.880,0.290,16.520,2.000,23,22.900
1628378,Donovan Mitchell,1610612739,SG,71,31.400,2.381,0.352,1.000,0.530,2.410,0.170,9.990,2.300,28,23.900
1629639,Tyler Herro,1610612748,SG,77,35.400,2.115,0.420,1.667,0.567,1.600,0.290,6.194,1.100,25,26.200
203954,Joel Embiid,1610612755,C,19,30.200,1.364,0.393,0.500,0.482,1.530,2.580,15.832,2.600,30,25.600
1628368,De'Aaron Fox,1610612759,PG,62,36.100,2.250,0.417,1.667,0.513,3.110,0.270,46.460,2.600,27,27.200
203897,Zach LaVine,1610612758,SG,74,35.200,1.500,0.367,0.500,0.606,1.360,0.490,27.302,1.700,29,18.300
1629630,Ja Morant,1610612763,PG,50,30.400,1.973,0.403,2.333,0.506,2.260,0.080,10.298,2.700,25,36.000
201935,James Harden,1610612746,PG,79,35.300,2.023,0.364,1.000,0.500,2.570,0.050,10.951,2.100,35,36.800
1627742,Brandon Ingram,1610612761,SF,18,33.100,1.368,,1.500,0.530,1.060,0.220,,2.700,27,26.800
201942,DeMar DeRozan,1610612758,SF,77,35.900,3.143,0.369,3.000,0.509,1.730,0.190,13.777,2.000,35,18.700
1628991,Jaren Jackson Jr.,1610612763,C,74,29.800,0.952,0.379,1.000,0.549,2.820,0.660,22.717,4.200,25,10.100
1627759,Jaylen Brown,1610612738,SF,63,34.300,1.731,0.352,1.000,0.514,1.780,0.300,11.403,2.600,28,21.400
1626181,Norman Powell,1610612746,SG,60,32.600,1.167,0.350,0.500,0.576,2.020,0.130,11.929,2.100,31,10.200
1631114,Jalen Williams,1610612760,SG,69,32.400,2.318,0.394,4.000,0.538,3.540,0.160,12.995,2.500,23,23.400
202695,Kawhi Leonard,1610612746,SF,37,31.900,1.632,0.472,0.500,0.562,3.140,0.160,6.829,1.700,33,16.400
1627750,Jamal Murray,1610612743,PG,67,36.100,2.857,0.420,8.000,0.542,2.340,0.340,15.909,1.900,27,23.200
1630530,Trey Murphy III,1610612740,SF,53,35.000,1.842,0.375,1.000,0.551,2.360,0.430,13.598,2.200,24,15.900
203468,CJ McCollum,1610612740,PG,56,32.700,2.158,0.376,3.000,0.528,1.460,0.230,12.706,2.400,33,20.600
1629628,RJ Barrett,1610612761,SF,58,32.200,1.862,0.387,2.333,0.521,2.400,0.410,17.354,2.600,24,27.300
