Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Mikal Bridges,28,NYK,SF,82,82,3036,7.0,14.0,.500,1.9,5.5,.354,5.1,8.5,.594,.570,1.1,1.4,.814,0.8,2.2,3.1,3.6,0.9,0.5,1.6,1.5,17.1,,bridgmi01
2,Josh Hart,29,NYK,SG,77,77,2897,5.0,9.6,.525,1.0,3.1,.333,4.0,6.4,.618,.579,2.0,2.5,.776,2.0,7.2,9.2,5.6,1.5,0.3,2.0,2.5,13.1,,hartjo01
3,Anthony Edwards,23,MIN,SG,79,79,2871,9.0,20.2,.447,4.0,10.2,.395,5.0,10.0,.501,.547,5.2,6.2,.837,0.8,4.9,5.6,4.5,1.1,0.6,3.1,1.9,27.3,MVP-7CPOY-3ASNBA2,edwaran01
4,Devin Booker,28,PHO,SG,75,75,2795,8.4,18.3,.461,2.4,7.1,.332,6.1,11.2,.542,.525,5.6,6.2,.894,1.0,2.9,3.9,6.8,0.9,0.2,2.8,2.6,24.8,,bookede01
5,James Harden,35,LAC,PG,79,79,2789,6.9,16.7,.410,3.0,8.6,.352,3.8,8.1,.472,.501,6.5,7.5,.874,0.7,5.2,5.9,8.9,1.5,0.7,4.4,2.1,23.3,MVP-10ASNBA3,hardeja01
6,DeMar DeRozan,35,SAC,SF,77,77,2768,8.1,17.0,.477,1.1,3.3,.328,7.0,13.7,.513,.509,4.9,5.7,.857,0.7,3.2,3.9,4.4,0.8,0.4,1.4,2.0,22.2,,derozde01
7,Trae Young,26,ATL,PG,76,76,2739,7.4,18.1,.411,2.9,8.4,.340,4.6,9.6,.474,.491,6.5,7.4,.875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2,CPOY-4AS,youngtr01
8,Tyler Herro,25,MIA,SG,77,77,2725,8.6,18.2,.472,3.3,8.9,.375,5.3,9.4,.565,.563,3.8,4.3,.878,0.5,4.8,5.3,5.6,0.9,0.2,2.6,1.1,24.3,AS,herroty01
9,OG Anunoby,27,NYK,PF,74,74,2706,6.5,13.7,.476,2.3,6.1,.372,4.2,7.5,.561,.559,2.4,3.0,.810,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,17.7,,anunoog01
10,Jalen Green,22,HOU,SG,82,82,2697,8.1,19.2,.423,3.1,8.8,.354,5.0,10.4,.482,.505,3.6,4.5,.813,0.6,4.4,5.0,3.8,0.9,0.4,2.7,1.7,23.0,,greenja05
