PLAYER_ID,PLAYER_NAME,TEAM_ID,POSITION,GP,MIN,ast_tov_ratio_percentile,late_clock_efficiency_percentile,clutch_ast_tov_percentile,efg_pct_percentile,deflections_per_36_percentile,screen_assists_per_36_percentile,loose_balls_per_36_percentile,shooting_foul_pct_percentile,smart_shot_selection_percentile,age_percentile,ast_pct_percentile
1628983,Shai Gilgeous-Alexander,1610612760,PG,76,34.2,85.0,55.1,71.3,67.0,72.3,16.0,88.7,21.6,47.9,55.7,92.5
203507,Giannis Antetokounmpo,1610612749,PF,67,34.2,68.3,89.0,89.7,88.3,18.0,83.0,42.7,10.5,94.9,77.0,95.9
203999,Nikola Jokić,1610612743,C,70,36.7,93.7,81.5,76.0,94.7,90.3,94.0,10.3,16.4,36.3,77.0,99.3
1629029,Luka Dončić,1610612747,PG,50,35.4,69.3,47.3,82.0,41.3,87.0,5.0,10.3,39.4,12.3,46.0,96.6
1630162,Anthony Edwards,1610612750,SG,79,36.3,21.7,30.1,23.0,50.7,39.7,5.0,24.7,5.6,46.6,23.0,71.2
1628369,Jayson Tatum,1610612738,PF,72,36.4,65.7,48.3,87.7,45.3,39.7,25.3,24.7,6.3,13.4,55.7,86.3
201142,Kevin Durant,1610612756,PF,62,36.5,18.3,94.5,73.3,85.0,10.7,25.3,1.3,9.8,15.8,97.0,66.4
1630178,Tyrese Maxey,1610612755,PG,52,37.7,81.3,35.3,79.7,26.0,56.0,5.0,24.7,11.5,23.3,23.0,89.0
1630595,Cade Cunningham,1610612765,PG,70,35.0,65.3,74.7,26.7,33.0,45.7,16.0,42.7,22.6,55.5,15.0,98.6
1628973,Jalen Brunson,1610612752,PG,65,35.4,91.0,76.0,90.3,52.0,10.7,16.0,42.7,11.8,54.1,63.7,93.8
1631094,Paolo Banchero,1610612753,PF,46,34.4,32.7,33.9,26.7,20.0,5.7,63.7,24.7,23.7,33.6,9.7,83.6
1626164,Devin Booker,1610612756,SG,75,37.3,80.0,64.0,92.0,33.7,10.7,25.3,63.0,18.1,75.3,63.7,91.8
1630163,LaMelo Ball,1610612766,PG,47,32.0,65.0,4.1,88.3,14.3,84.0,40.0,88.7,15.3,55.5,15.0,99.0
203081,Damian Lillard,1610612749,PG,58,36.1,81.0,16.8,61.3,53.7,75.7,5.0,10.3,15.0,76.4,94.7,91.1
203076,Anthony Davis,1610612742,PF,51,33.4,32.3,22.6,36.3,43.7,48.3,88.7,77.3,97.9,79.8,85.3,62.3
202681,Kyrie Irving,1610612742,SG,50,36.1,68.0,69.2,49.0,51.7,84.0,40.0,77.3,12.5,17.1,90.0,69.5
1629627,Zion Williamson,1610612740,PF,30,28.6,47.3,90.8,46.7,69.3,84.0,73.0,97.3,49.1,93.8,35.0,96.9
201939,Stephen Curry,1610612744,PG,70,32.2,65.7,66.1,38.0,70.7,56.0,63.7,63.0,9.4,75.3,98.0,92.5
1626157,Karl-Anthony Towns,1610612752,C,72,35.0,12.0,89.7,63.7,80.7,39.7,84.0,42.7,61.0,1.7,71.3,44.2
2544,LeBron James,1610612747,SF,70,34.9,73.7,66.8,81.7,70.7,28.0,69.3,42.7,4.2,13.4,99.3,98.3
1641705,Victor Wembanyama,1610612759,C,46,33.2,12.3,41.8,26.7,64.0,90.3,78.0,42.7,32.4,18.5,3.0,62.3
1630532,Franz Wagner,1610612753,SF,60,33.7,64.3,27.4,24.0,23.7,52.7,25.3,42.7,25.4,37.3,15.0,84.9
