Player,Team,G,MP,Fouls Committed_Shoot,shooting_fouls_per_36
Mikal Bridges,NYK,82,3036,51,0.605
Josh Hart,NYK,77,2897,109,1.355
Anthony Edwards,MIN,79,2871,61,0.765
Devin Booker,PHO,75,2795,81,1.043
James Harden,LAC,79,2789,70,0.904
DeMar DeRozan,SAC,77,2768,89,1.158
Trae Young,ATL,76,2739,69,0.907
Tyler Herro,MIA,77,2725,41,0.542
OG Anunoby,NYK,74,2706,98,1.304
Jalen Green,HOU,82,2697,59,0.788
Christian Braun,DEN,79,2675,92,1.238
Bam Adebayo,MIA,78,2674,82,1.104
Ivica Zubac,LAC,80,2624,107,1.468
Jayson Tatum,BOS,72,2624,54,0.741
Jaden McDaniels,MIN,82,2614,103,1.419
Keegan Murray,SAC,76,2610,104,1.434
Zach LaVine,2TM,74,2602,72,0.996
Zach LaVine,CHI,42,1432,43,1.081
Zach LaVine,SAC,32,1170,29,0.892
Shai Gilgeous-Alexander,OKC,76,2598,100,1.386
Michael Porter Jr.,DEN,77,2593,92,1.277
Derrick White,BOS,76,2574,93,1.301
Dyson Daniels,ATL,76,2571,86,1.204
Nikola JokiÄ,DEN,70,2571,76,1.064
Austin Reaves,LAL,73,2550,81,1.144
Toumani Camara,POR,78,2548,112,1.582
Pascal Siakam,IND,78,2548,84,1.187
Brook Lopez,MIL,80,2546,97,1.372
Karl-Anthony Towns,NYK,72,2517,131,1.874
Bub Carrington,WAS,82,2458,116,1.699
Cade Cunningham,DET,70,2452,87,1.277
Tyrese Haliburton,IND,73,2451,49,0.72
Coby White,CHI,74,2450,65,0.955
LeBron James,LAL,70,2444,42,0.619
Domantas Sabonis,SAC,70,2429,100,1.482
Jamal Murray,DEN,67,2418,84,1.251
Alperen ÅengÃ¼n,HOU,76,2395,106,1.593
Dillon Brooks,HOU,75,2388,104,1.568
Rudy Gobert,MIN,72,2388,84,1.266
Tobias Harris,DET,73,2305,89,1.39
Darius Garland,CLE,75,2301,60,0.939
Jalen Brunson,NYK,65,2301,60,0.939
Jarrett Allen,CLE,82,2296,77,1.207
Chris Paul,SAS,82,2292,72,1.131
Anfernee Simons,POR,70,2292,68,1.068
Giannis Antetokounmpo,MIL,67,2289,67,1.054
Malik Beasley,DET,82,2283,61,0.962
Kentavious Caldwell-Pope,ORL,77,2279,63,0.995
Nikola VuÄeviÄ,CHI,73,2278,106,1.675
Payton Pritchard,BOS,80,2271,41,0.65
Kevin Durant,PHO,62,2265,55,0.874
Shaedon Sharpe,POR,72,2252,48,0.767
Stephen Curry,GSW,70,2252,55,0.879
De'Aaron Fox,2TM,62,2241,63,1.012
De'Aaron Fox,SAC,45,1663,42,0.909
De'Aaron Fox,SAS,17,578,21,1.308
Jalen Williams,OKC,69,2237,77,1.239
Donovan Mitchell,CLE,71,2232,65,1.048
Harrison Barnes,SAS,82,2230,47,0.759
Julius Randle,MIN,69,2226,76,1.229
Amen Thompson,HOU,69,2225,61,0.987
Jaren Jackson Jr.,MEM,74,2207,136,2.218
Desmond Bane,MEM,69,2205,79,1.29
Naz Reid,MIN,80,2200,131,2.144
Tyus Jones,PHO,81,2174,29,0.48
Myles Turner,IND,72,2174,103,1.706
Evan Mobley,CLE,71,2167,100,1.661
Taurean Prince,MIL,80,2166,87,1.446
Stephon Castle,SAS,81,2162,72,1.199
Deni Avdija,POR,72,2161,104,1.733
Jaylen Brown,BOS,63,2158,68,1.134
Tim Hardaway Jr.,DET,77,2153,49,0.819
Bennedict Mathurin,IND,72,2149,86,1.441
Spencer Dinwiddie,DAL,79,2136,63,1.062
Scottie Barnes,TOR,65,2134,49,0.827
Max Christie,2TM,78,2127,68,1.151
Max Christie,LAL,46,1154,44,1.373
Max Christie,DAL,32,973,24,0.888
Josh Giddey,CHI,70,2117,78,1.326
Fred VanVleet,HOU,60,2111,62,1.057
Keyonte George,UTA,67,2109,43,0.734
Dennis SchrÃ¶der,3TM,75,2105,69,1.18
Dennis SchrÃ¶der,BRK,23,772,23,1.073
Dennis SchrÃ¶der,GSW,24,628,22,1.261
Dennis SchrÃ¶der,DET,28,705,24,1.226
Damian Lillard,MIL,58,2093,54,0.929
Russell Westbrook,DEN,75,2092,81,1.394
Kelly Oubre Jr.,PHI,60,2078,84,1.455
Nickeil Alexander-Walker,MIN,82,2073,80,1.389
Luguentz Dort,OKC,71,2073,88,1.528
Onyeka Okongwu,ATL,74,2064,119,2.076
Malik Monk,SAC,65,2054,108,1.893
Jaylen Wells,MEM,79,2043,60,1.057
Jalen Duren,DET,78,2034,148,2.619
Jalen Wilson,BRK,79,2031,96,1.702
Miles Bridges,CHO,64,2029,50,0.887
Davion Mitchell,2TM,74,2027,71,1.261
Davion Mitchell,TOR,44,1080,42,1.4
Davion Mitchell,MIA,30,947,29,1.102
Franz Wagner,ORL,60,2023,69,1.228
Quentin Grimes,2TM,75,2013,62,1.109
Quentin Grimes,DAL,47,1070,28,0.942
Quentin Grimes,PHI,28,943,34,1.298
Jordan Poole,WAS,68,2001,84,1.511
Draymond Green,GSW,68,1983,116,2.106
Devin Vassell,SAS,64,1983,54,0.98
Klay Thompson,DAL,72,1965,44,0.806
Tyrese Maxey,PHI,52,1960,56,1.029
Norman Powell,LAC,60,1958,62,1.14
Yves Missi,NOP,73,1956,98,1.804
Keon Ellis,SAC,80,1948,93,1.719
Bilal Coulibaly,WAS,59,1948,53,0.979
Kyle Kuzma,2TM,65,1936,69,1.283
Kyle Kuzma,WAS,32,887,25,1.015
Kyle Kuzma,MIL,33,1049,44,1.51
Julian Champagnie,SAS,82,1932,73,1.36
Keon Johnson,BRK,79,1925,103,1.926
Naji Marshall,DAL,69,1919,52,0.976
Jrue Holiday,BOS,62,1896,52,0.987
Guerschon Yabusele,PHI,70,1895,76,1.444
Gary Trent Jr.,MIL,74,1893,44,0.837
Anthony Black,ORL,78,1887,87,1.66
Josh Green,CHO,68,1887,65,1.24
Nic Claxton,BRK,70,1882,56,1.071
