,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Mikal Bridges,28,NYK,SF,82,82,3036,.500,14.7,.609,.185,.189,.192,.042,.391,.594,.785,.513,.507,.520,.354,.682,.957,.025,28,.449,.423,12,0,,bridgmi01
2,Josh Hart,29,NYK,SG,77,77,2897,.525,11.3,.673,.408,.162,.066,.036,.327,.618,.732,.440,.412,.500,.333,.613,.869,.030,21,.258,.308,1,0,,hartjo01
3,Anthony Edwards,23,MIN,SG,79,79,2871,.447,16.9,.497,.176,.158,.084,.080,.503,.501,.678,.453,.341,.372,.395,.384,.475,.039,54,.107,.414,10,0,MVP-7CPOY-3ASNBA2,edwaran01
4,Devin Booker,28,PHO,SG,75,75,2795,.461,16.2,.612,.109,.175,.206,.123,.388,.542,.690,.492,.531,.500,.332,.431,.716,.013,14,.123,.338,0,0,,bookede01
5,James Harden,35,LAC,PG,79,79,2789,.410,17.3,.484,.106,.232,.122,.024,.516,.472,.657,.422,.405,.484,.352,.176,.370,.003,4,.042,.429,0,0,MVP-10ASNBA3,hardeja01
6,DeMar DeRozan,35,SAC,SF,77,77,2768,.477,15.3,.804,.065,.171,.299,.269,.196,.513,.706,.549,.509,.449,.328,.363,.881,.006,7,.309,.380,6,0,,derozde01
7,Trae Young,26,ATL,PG,76,76,2739,.411,17.3,.533,.124,.219,.134,.057,.467,.474,.544,.468,.467,.359,.340,.287,.294,.001,0,.078,.440,6,1,CPOY-4AS,youngtr01
8,Tyler Herro,25,MIA,SG,77,77,2725,.472,16.7,.514,.137,.213,.126,.038,.486,.565,.698,.515,.529,.481,.375,.378,.753,.008,10,.118,.456,2,0,AS,herroty01
9,OG Anunoby,27,NYK,PF,74,74,2706,.476,13.5,.552,.338,.123,.055,.037,.448,.561,.706,.349,.321,.289,.372,.717,.930,.140,132,.450,.377,1,0,,anunoog01
10,Jalen Green,22,HOU,SG,82,82,2697,.423,16.3,.540,.191,.175,.058,.116,.460,.482,.664,.418,.298,.371,.354,.262,.538,.046,54,.107,.366,0,0,,greenja05
11,Christian Braun,23,DEN,SG,79,77,2675,.580,9.9,.727,.418,.245,.027,.038,.273,.648,.758,.522,.409,.419,.397,.762,.888,.124,94,.317,.352,1,0,,braunch01
12,Bam Adebayo,27,MIA,C,78,78,2674,.485,11.4,.801,.213,.285,.247,.057,.199,.517,.705,.461,.436,.444,.357,.605,.886,.123,125,.290,.453,0,0,DPOY-10,adebaba01
13,Ivica Zubac,27,LAC,C,80,80,2624,.628,4.4,1.000,.426,.499,.072,.003,.000,.628,.706,.585,.485,.333,,.703,,.203,177,,,0,0,DPOY-6DEF2,zubaciv01
14,Jayson Tatum,26,BOS,PF,72,72,2624,.452,17.1,.503,.182,.149,.089,.083,.497,.559,.782,.479,.359,.430,.343,.350,.460,.059,79,.059,.419,0,0,MVP-4CPOY-10ASNBA1,tatumja01
15,Jaden McDaniels,24,MIN,PF,82,82,2614,.477,12.8,.637,.253,.230,.121,.032,.363,.561,.730,.427,.535,.296,.330,.611,.950,.074,51,.512,.335,3,0,,mcdanja02
16,Keegan Murray,24,SAC,PF,76,76,2610,.444,17.2,.452,.144,.195,.078,.035,.548,.566,.831,.469,.359,.483,.343,.652,.987,.087,66,.290,.385,1,0,,murrake02
