PLAYER_ID,PLAYER_NAME,TEAM_ID,POSITION,GP,MIN,ast_tov_ratio_percentile,late_clock_efficiency_percentile,clutch_ast_tov_percentile,efg_pct_percentile,deflections_per_36_percentile,screen_assists_per_36_percentile,shooting_foul_pct_percentile,personal_foul_rate_percentile,age_percentile,ast_pct_percentile,composite_weighted_iq,rank_weighted_iq
1630169,Tyrese Haliburton,1610612754,PG,73,33.6,99.7,66.7,92.6,93.1,91.3,86.2,80.7,97.7,29.7,98.0,143.0,1
203999,Nikola Jokić,1610612743,C,70,36.7,93.7,45.8,77.8,81.6,98.0,93.9,95.9,69.3,74.3,99.3,140.0,2
2544,LeBron James,1610612747,SF,70,34.9,73.7,77.4,85.9,74.1,62.7,88.9,98.1,96.0,99.7,98.3,137.0,3
201939,Stephen Curry,1610612744,PG,70,32.2,65.7,84.2,21.5,89.7,77.3,96.6,87.7,96.0,97.3,92.7,135.0,4
1626145,Tyus Jones,1610612756,PG,81,26.8,98.7,50.9,97.3,87.9,38.7,77.6,89.5,99.7,67.7,88.7,134.0,5
203507,Giannis Antetokounmpo,1610612749,PF,67,34.2,68.3,90.0,92.6,80.8,43.0,90.4,84.6,61.7,79.7,96.0,132.0,6
1628983,Shai Gilgeous-Alexander,1610612760,PG,76,34.2,85.0,75.4,85.9,84.5,90.3,43.1,63.2,66.0,50.3,92.7,130.0,7
1628973,Jalen Brunson,1610612752,PG,65,35.4,91.0,89.5,91.9,75.9,33.7,51.7,82.5,69.3,67.7,94.0,130.0,8
1629660,Ty Jerome,1610612739,SG,70,19.9,83.7,90.5,62.0,94.3,79.0,34.5,78.6,50.7,60.7,80.3,129.0,9
1629680,Matisse Thybulle,1610612757,SG,15,20.8,68.7,83.3,79.1,87.4,98.7,77.0,83.3,94.7,60.7,39.7,129.0,10
1629636,Darius Garland,1610612739,PG,75,30.7,85.7,71.9,98.7,82.8,64.0,25.9,78.9,69.3,40.7,93.7,128.0,11
1630202,Payton Pritchard,1610612738,PG,80,28.4,96.3,78.9,62.0,96.6,30.0,60.3,86.0,85.7,60.7,61.7,128.0,12
202710,Jimmy Butler III,1610612744,SF,55,31.7,97.7,50.9,62.0,35.2,93.0,94.4,69.8,99.0,96.3,82.0,128.0,13
1627750,Jamal Murray,1610612743,PG,67,36.1,89.7,82.5,99.7,70.7,80.7,69.0,45.6,85.7,60.7,77.7,127.0,14
101108,Chris Paul,1610612759,PG,82,28.0,98.0,57.9,92.3,70.7,83.3,93.1,22.8,61.7,99.3,95.7,127.0,15
202681,Kyrie Irving,1610612742,SG,50,36.1,68.0,77.4,42.1,56.3,95.0,78.2,82.1,80.0,88.3,69.3,125.0,16
1628379,Luke Kennard,1610612763,SG,65,22.6,91.7,66.7,83.2,94.3,31.7,58.6,67.9,97.7,67.7,64.0,125.0,17
1628404,Josh Hart,1610612752,SG,77,37.6,87.3,89.3,42.1,80.5,91.0,98.9,22.6,58.3,74.3,70.7,124.0,18
1630581,Josh Giddey,1610612741,PG,70,30.2,80.7,70.2,92.6,63.8,75.7,74.1,40.4,75.0,12.7,94.3,124.0,19
1629639,Tyler Herro,1610612748,SG,77,35.4,69.0,71.4,54.9,75.9,44.3,41.4,92.9,99.0,40.7,84.7,124.0,20
