GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,1,1,1.0
League Averages,Above the Break 3,Center(C),24+ ft.,5987,5987,1.0
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,9526,9526,1.0
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,8629,8629,1.0
League Averages,Backcourt,Back Court(BC),Back Court Shot,12,12,1.0
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,5876,5876,1.0
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,11747,11747,1.0
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,1008,1008,1.0
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,1103,1103,1.0
League Averages,Left Corner 3,Left Side(L),24+ ft.,4706,4706,1.0
League Averages,Mid-Range,Center(C),8-16 ft.,835,835,1.0
League Averages,Mid-Range,Center(C),16-24 ft.,1133,1133,1.0
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,1110,1110,1.0
League Averages,Mid-Range,Left Side(L),16-24 ft.,478,478,1.0
League Averages,Mid-Range,Left Side(L),8-16 ft.,1889,1889,1.0
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,1060,1060,1.0
League Averages,Mid-Range,Right Side(R),8-16 ft.,2020,2020,1.0
League Averages,Mid-Range,Right Side(R),16-24 ft.,400,400,1.0
League Averages,Restricted Area,Center(C),Less Than 8 ft.,40603,40603,1.0
League Averages,Right Corner 3,Right Side(R),24+ ft.,4443,4443,1.0
