PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_NAME,TEAM_ID,TEAM_ABBREVIATION,PASS_TYPE,G,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,FREQUENCY,PASS,AST,FGM,FGA,FG_PCT,FG2M,FG2A,FG2_PCT,FG3M,FG3A,FG3_PCT
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,3,"Norris, Miles",1641936,0.003,0.13,0.0,0.03,0.05,0.5,0.01,0.04,0.333,0.01,0.01,1.0
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,11,"Peterson, Drew",1641809,0.015,0.61,0.05,0.06,0.1,0.625,0.04,0.05,0.75,0.03,0.05,0.5
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,34,"Walsh, Jordan",1641775,0.034,1.44,0.05,0.11,0.31,0.36,0.05,0.09,0.571,0.06,0.23,0.278
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,23,"Scheierman, Baylor",1631248,0.024,1.0,0.09,0.14,0.3,0.458,0.09,0.11,0.778,0.05,0.19,0.267
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,6,"Davison, JD",1631120,0.005,0.2,0.01,0.04,0.05,0.75,0.01,0.01,1.0,0.03,0.04,0.667
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,67,"Hauser, Sam",1630573,0.133,5.61,0.24,0.54,1.2,0.448,0.29,0.5,0.575,0.25,0.7,0.357
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,5,"Springer, Jaden",1630531,0.002,0.1,0.0,0.03,0.05,0.5,0.03,0.04,0.667,0.0,0.01,0.0
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,20,"Tillman, Xavier",1630214,0.019,0.81,0.04,0.05,0.24,0.211,0.01,0.05,0.25,0.04,0.19,0.2
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,49,"Queta, Neemias",1629674,0.052,2.19,0.15,0.26,0.55,0.477,0.13,0.23,0.556,0.14,0.33,0.423
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,15,"Craig, Torrey",1628470,0.025,1.04,0.06,0.1,0.23,0.444,0.05,0.06,0.8,0.05,0.16,0.308
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,63,"Kornet, Luke",1628436,0.081,3.4,0.36,0.51,0.91,0.562,0.13,0.2,0.625,0.39,0.71,0.544
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,71,"White, Derrick",1628401,0.143,6.05,0.5,0.65,1.33,0.491,0.19,0.29,0.652,0.46,1.04,0.446
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,69,"Tatum, Jayson",1628369,0.195,8.21,0.53,0.76,1.93,0.396,0.15,0.35,0.429,0.61,1.58,0.389
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,59,"Brown, Jaylen",1627759,0.088,3.73,0.45,0.58,1.26,0.455,0.14,0.19,0.733,0.44,1.08,0.407
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,31,"Porziņģis, Kristaps",204001,0.027,1.13,0.1,0.15,0.24,0.632,0.08,0.1,0.75,0.08,0.14,0.545
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,56,"Holiday, Jrue",201950,0.07,2.96,0.29,0.44,0.76,0.574,0.11,0.18,0.643,0.33,0.59,0.553
1630202,"Pritchard, Payton",Boston Celtics,1610612738,BOS,received,58,"Horford, Al",201143,0.085,3.59,0.11,0.26,0.78,0.339,0.08,0.19,0.4,0.19,0.59,0.319
