slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
derozde01,DeMar DeRozan,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],34,Team.CHICAGO_BULLS,79,2989,19.7,0.584,0.166,0.452,1.6,11.3,6.4,21.8,1.5,1.5,7.7,25.8,7.0,2.2,9.2,0.147,2.1,-0.3,1.8,2.8,False
sabondo01,Domantas Sabonis,[<Position.CENTER: 'CENTER'>],27,Team.SACRAMENTO_KINGS,82,2928,23.2,0.637,0.081,0.389,11.0,32.3,21.4,33.9,1.2,1.5,17.9,22.2,8.6,4.0,12.6,0.206,4.0,2.4,6.5,6.2,False
whiteco01,Coby White,[<Position.POINT_GUARD: 'POINT GUARD'>],23,Team.CHICAGO_BULLS,79,2881,14.5,0.57,0.46,0.215,1.7,12.4,6.9,20.8,0.9,0.6,11.1,22.7,3.1,1.6,4.7,0.078,0.7,-1.3,-0.7,0.9,False
bridgmi01,Mikal Bridges,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27,Team.BROOKLYN_NETS,82,2854,14.9,0.56,0.457,0.245,2.5,12.0,7.1,16.3,1.4,0.9,10.3,24.3,2.1,2.1,4.2,0.07,0.7,-1.0,-0.4,1.2,False
banchpa01,Paolo Banchero,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21,Team.ORLANDO_MAGIC,80,2799,17.3,0.546,0.249,0.397,3.4,20.0,11.6,25.2,1.3,1.6,13.0,29.7,1.3,4.0,5.3,0.09,1.3,0.0,1.3,2.3,False
duranke01,Kevin Durant,[<Position.POWER_FORWARD: 'POWER FORWARD'>],35,Team.PHOENIX_SUNS,75,2791,21.2,0.626,0.283,0.295,1.7,17.5,10.0,22.2,1.2,2.9,13.1,29.0,5.1,3.2,8.3,0.142,4.0,0.1,4.0,4.3,False
murrade01,Dejounte Murray,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27,Team.ATLANTA_HAWKS,78,2783,17.7,0.555,0.379,0.179,2.3,14.4,8.1,27.9,1.9,0.8,11.3,26.6,3.3,1.6,4.9,0.084,2.3,-0.6,1.7,2.6,False
edwaran01,Anthony Edwards,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.MINNESOTA_TIMBERWOLVES,79,2770,19.7,0.575,0.341,0.325,2.2,14.8,8.8,24.6,1.8,1.3,11.9,32.3,2.9,4.7,7.5,0.13,2.7,0.5,3.3,3.7,False
jokicni01,Nikola Jokić,[<Position.CENTER: 'CENTER'>],28,Team.DENVER_NUGGETS,79,2737,31.0,0.65,0.164,0.31,9.3,29.6,19.8,42.0,2.0,2.1,12.9,29.3,12.0,5.1,17.0,0.299,9.0,4.2,13.2,10.6,False
brunsja01,Jalen Brunson,[<Position.POINT_GUARD: 'POINT GUARD'>],27,Team.NEW_YORK_KNICKS,77,2726,23.4,0.592,0.319,0.302,1.8,9.7,5.7,33.5,1.3,0.4,9.1,32.5,8.8,2.4,11.2,0.198,6.3,-0.4,5.8,5.4,False
