GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
Players,196294944,,,1610612755,PHI,,3,2,1,0.667,11.033333333333333,9.8,22.8,0.429,0.0,6.5,0.0,6.5,13.1,0.5,0.0,3.3,3.3,13.1,0.0,3.3,0.0,3.3,3.3,6.5,26.1,19.6,59.4,0,0,48.9,846,720,912,239,775,154,100,521,591,350,591,213,94,607,672,685,869,32,698,117,441,67,685,227,200,289,84,490,45,162,1
Players,1642448,,,1610612754,IND,,1,0,1,0.0,0.8166666666666667,0.0,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.1,0.0,44.1,0.0,0.0,0.0,-176.3,132.2,0,0,88.2,1102,1125,912,1125,1225,914,12,914,591,871,591,740,769,740,672,914,992,798,698,3,441,1,940,848,981,1283,13,490,45,24,1
Players,1641872,,,1710612758,SKO,,1,0,1,0.0,2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118.6,0.0,0,0,0.0,1102,1125,912,1125,1135,914,1082,914,591,871,591,740,769,740,672,914,992,798,698,577,441,453,940,848,981,1252,1143,490,45,1147,1
Players,1628932,A'ja Wilson,A'ja,1611661319,LVA,28.0,16,9,7,0.563,52.61,8.9,15.7,0.565,0.7,2.1,0.333,12.3,14.4,0.857,2.7,13.0,15.7,2.7,1.4,0.7,2.7,0.0,3.4,9.6,30.8,2.1,62.7,10,0,56.8,261,220,303,464,241,186,317,278,562,778,341,61,77,298,304,63,97,488,547,521,114,453,664,93,131,576,68,33,45,86,1
Players,1630639,A.J. Lawson,A.J.,1612709920,RAP,24.0,14,6,8,0.429,39.82,6.3,15.4,0.412,2.7,6.3,0.429,3.6,6.3,0.571,1.8,5.4,7.2,0.0,4.5,0.9,0.0,1.8,7.2,5.4,19.0,-5.4,25.9,0,0,30.7,325,365,255,819,348,366,330,569,236,368,265,444,332,588,428,412,450,798,140,461,441,165,199,311,382,751,737,490,45,534,1
Players,1630639,A.J. Lawson,A.J.,1610612761,TOR,24.0,3,1,2,0.333,12.433333333333334,8.7,14.5,0.6,5.8,11.6,0.5,0.0,0.0,0.0,0.0,5.8,5.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,23.2,-23.2,38.8,0,0,40.5,846,871,746,928,732,199,374,217,73,113,140,740,769,740,672,380,608,185,698,577,441,453,940,848,258,1002,372,490,45,295,1
Players,1630639,A.J. Lawson,A.J.,1610612742,DAL,24.0,2,0,2,0.0,4.873333333333333,7.4,7.4,1.0,0.0,0.0,0.0,22.2,29.5,0.75,0.0,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,14.8,36.9,0.0,45.8,0,0,44.3,967,1125,746,1125,984,275,853,1,591,871,591,19,14,413,672,241,431,798,698,577,441,453,940,30,62,597,239,490,45,225,1
Players,1631462,A.J. Reeves,A.J.,1612709913,BHM,26.0,2,0,2,0.0,0.31833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-226.2,0.0,0,0,0.0,967,1125,746,1125,1266,914,1082,914,591,871,591,740,769,740,672,914,992,798,698,577,441,453,940,848,981,1292,1143,490,45,1147,1
Players,1631260,AJ Green,AJ,1610612749,MIL,25.0,25,13,12,0.52,72.74,3.0,5.4,0.545,3.0,5.4,0.545,1.0,1.5,0.667,0.0,2.0,2.0,2.0,0.0,0.5,0.0,0.0,4.0,1.0,9.9,-7.4,16.7,0,0,17.8,108,100,114,543,140,753,964,297,211,446,134,711,734,502,672,836,956,621,698,553,441,453,580,828,755,783,1001,490,45,966,1
Players,1631100,AJ Griffin,AJ,1610612745,HOU,21.0,1,0,1,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-332.3,0.0,0,0,0.0,1102,1125,912,1125,1242,914,1082,914,591,871,591,740,769,740,672,914,992,798,698,577,441,453,940,848,981,1303,1143,490,45,1147,1
