PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1628983,1,Shai Gilgeous-Alexander,1610612760,OKC,76,34.2,11.3,21.8,0.519,2.1,5.7,0.375,7.9,8.8,0.898,0.9,4.1,5.0,6.4,1.7,1.0,2.4,32.7,41.8
203507,2,Giannis Antetokounmpo,1610612749,MIL,67,34.2,11.8,19.7,0.601,0.2,0.9,0.222,6.5,10.6,0.617,2.2,9.7,11.9,6.5,0.9,1.2,3.1,30.4,46.4
203999,3,Nikola Jokić,1610612743,DEN,70,36.7,11.2,19.5,0.576,2.0,4.7,0.417,5.2,6.4,0.8,2.9,9.9,12.7,10.2,1.8,0.6,3.3,29.6,48.6
1630162,4,Anthony Edwards,1610612750,MIN,79,36.3,9.1,20.4,0.447,4.1,10.3,0.395,5.3,6.3,0.837,0.8,4.9,5.7,4.5,1.2,0.6,3.2,27.6,30.4
1628369,5,Jayson Tatum,1610612738,BOS,72,36.4,9.2,20.3,0.452,3.5,10.1,0.343,5.0,6.1,0.814,0.7,8.0,8.7,6.0,1.1,0.5,2.9,26.8,34.0
201142,6,Kevin Durant,1610612756,PHX,62,36.5,9.5,18.1,0.527,2.6,6.0,0.43,4.9,5.8,0.839,0.4,5.7,6.0,4.2,0.8,1.2,3.1,26.6,32.1
1630595,7,Cade Cunningham,1610612765,DET,70,35.0,9.8,20.8,0.469,2.1,6.0,0.356,4.5,5.3,0.846,0.8,5.3,6.1,9.1,1.0,0.8,4.4,26.1,32.1
1628973,8,Jalen Brunson,1610612752,NYK,65,35.4,9.0,18.5,0.488,2.3,6.1,0.383,5.7,6.9,0.821,0.4,2.5,2.9,7.3,0.9,0.1,2.5,26.0,30.9
1626164,9,Devin Booker,1610612756,PHX,75,37.3,8.7,18.9,0.461,2.4,7.3,0.332,5.8,6.4,0.894,1.0,3.1,4.1,7.1,0.9,0.2,2.9,25.6,30.5
203081,10,Damian Lillard,1610612749,MIL,58,36.1,7.7,17.1,0.448,3.4,9.0,0.376,6.2,6.8,0.921,0.5,4.2,4.7,7.1,1.2,0.2,2.8,24.9,32.1
201939,11,Stephen Curry,1610612744,GSW,70,32.2,8.1,18.0,0.448,4.4,11.2,0.397,4.0,4.3,0.933,0.6,3.9,4.4,6.0,1.1,0.4,2.9,24.5,27.8
1626157,12,Karl-Anthony Towns,1610612752,NYK,72,35.0,8.9,16.9,0.526,2.0,4.7,0.42,4.7,5.7,0.829,2.9,9.8,12.8,3.1,1.0,0.7,2.7,24.4,36.0
2544,13,LeBron James,1610612747,LAL,70,34.9,9.3,18.1,0.513,2.1,5.7,0.376,3.7,4.7,0.782,1.0,6.8,7.8,8.2,1.0,0.6,3.7,24.4,33.1
1629027,14,Trae Young,1610612737,ATL,76,36.0,7.4,18.1,0.411,2.9,8.4,0.34,6.5,7.4,0.875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,24.2,31.4
1630532,15,Franz Wagner,1610612753,ORL,60,33.7,9.0,19.4,0.463,1.7,5.9,0.295,4.5,5.2,0.871,0.9,4.8,5.7,4.7,1.3,0.4,2.3,24.2,28.0
1628378,16,Donovan Mitchell,1610612739,CLE,71,31.4,8.2,18.6,0.443,3.3,8.9,0.368,4.2,5.1,0.823,0.8,3.7,4.5,5.0,1.3,0.2,2.1,24.0,26.8
1629639,17,Tyler Herro,1610612748,MIA,77,35.4,8.5,17.9,0.472,3.3,8.7,0.375,3.7,4.2,0.878,0.5,4.7,5.2,5.5,0.9,0.2,2.6,23.9,27.4
1628368,18,De'Aaron Fox,1610612759,SAS,124,36.1,8.7,18.8,0.463,1.9,6.1,0.31,4.2,5.1,0.827,0.9,3.9,4.8,6.3,1.5,0.4,2.8,23.5,27.9
203897,19,Zach LaVine,1610612758,SAC,148,35.2,8.4,16.5,0.511,3.2,7.2,0.446,3.2,3.9,0.825,0.3,4.0,4.3,4.2,0.8,0.2,2.8,23.3,25.0
201935,20,James Harden,1610612746,LAC,79,35.3,6.7,16.4,0.41,3.0,8.5,0.352,6.4,7.3,0.874,0.7,5.1,5.8,8.7,1.5,0.7,4.3,22.8,31.9
201942,21,DeMar DeRozan,1610612758,SAC,77,35.9,8.1,17.0,0.477,1.1,3.3,0.328,4.9,5.7,0.857,0.6,3.2,3.9,4.4,0.8,0.4,1.4,22.2,26.4
1627759,22,Jaylen Brown,1610612738,BOS,63,34.3,8.2,17.7,0.463,1.8,5.7,0.324,3.9,5.1,0.764,1.3,4.5,5.8,4.5,1.2,0.3,2.6,22.2,25.8
1628991,23,Jaren Jackson Jr.,1610612763,MEM,74,29.8,8.0,16.4,0.488,2.0,5.3,0.375,4.2,5.4,0.781,1.2,4.4,5.6,2.0,1.2,1.5,2.1,22.2,26.3
1626181,24,Norman Powell,1610612746,LAC,60,32.6,7.6,15.8,0.484,3.0,7.1,0.418,3.6,4.4,0.804,0.4,2.8,3.2,2.1,1.2,0.2,1.8,21.8,22.0
1631114,25,Jalen Williams,1610612760,OKC,69,32.4,8.2,16.9,0.484,1.8,4.9,0.365,3.4,4.3,0.789,0.9,4.5,5.3,5.1,1.6,0.7,2.2,21.6,26.8
1627750,26,Jamal Murray,1610612743,DEN,67,36.1,7.9,16.7,0.474,2.3,5.9,0.393,3.3,3.7,0.886,0.7,3.2,3.9,6.0,1.4,0.5,2.1,21.4,25.6
1629628,27,RJ Barrett,1610612761,TOR,58,32.2,7.9,16.9,0.468,1.8,5.3,0.35,3.4,5.4,0.63,1.1,5.3,6.3,5.4,0.8,0.3,2.9,21.1,25.4
1630224,28,Jalen Green,1610612745,HOU,82,32.9,7.4,17.5,0.423,2.9,8.1,0.354,3.3,4.1,0.813,0.5,4.0,4.6,3.4,0.9,0.3,2.5,21.0,21.0
1629636,29,Darius Garland,1610612739,CLE,75,30.7,7.4,15.7,0.472,2.8,7.1,0.401,3.0,3.4,0.878,0.6,2.2,2.9,6.7,1.2,0.1,2.5,20.6,23.7
1629673,30,Jordan Poole,1610612764,WAS,68,29.4,6.7,15.5,0.432,3.5,9.1,0.378,3.6,4.0,0.883,0.5,2.5,3.0,4.5,1.3,0.4,3.0,20.5,21.3
1629632,31,Coby White,1610612741,CHI,74,33.1,6.9,15.1,0.453,2.9,7.9,0.37,3.7,4.1,0.902,0.3,3.4,3.7,4.5,0.9,0.2,2.4,20.4,22.7
1628970,32,Miles Bridges,1610612766,CHA,64,31.7,7.3,17.0,0.431,2.2,7.0,0.313,3.5,4.0,0.87,1.1,6.4,7.5,3.9,0.7,0.7,2.1,20.3,24.7
1627783,33,Pascal Siakam,1610612754,IND,78,32.7,7.9,15.2,0.519,1.6,4.2,0.389,2.9,3.9,0.734,1.7,5.2,6.9,3.4,0.9,0.5,1.4,20.2,26.2
1630559,34,Austin Reaves,1610612747,LAL,73,34.9,6.5,14.2,0.46,2.7,7.3,0.377,4.4,5.0,0.877,0.8,3.7,4.5,5.8,1.1,0.3,2.4,20.2,26.2
1630567,35,Scottie Barnes,1610612761,TOR,65,32.8,7.3,16.4,0.446,1.2,4.3,0.271,3.5,4.6,0.755,1.7,6.0,7.7,5.8,1.4,1.0,2.8,19.3,26.8
1629014,36,Anfernee Simons,1610612757,POR,70,32.7,6.8,16.1,0.426,3.1,8.5,0.363,2.5,2.8,0.902,0.4,2.3,2.7,4.8,0.9,0.1,2.0,19.3,18.9
1630217,37,Desmond Bane,1610612753,ORL,69,32.0,7.1,14.8,0.484,2.4,6.1,0.392,2.6,2.9,0.894,0.9,5.2,6.1,5.3,1.2,0.4,2.4,19.2,24.7
1627734,38,Domantas Sabonis,1610612758,SAC,70,34.7,7.5,12.8,0.59,0.9,2.2,0.417,3.1,4.1,0.754,3.8,10.1,13.9,6.0,0.7,0.4,2.9,19.1,35.1
1630578,39,Alperen Sengun,1610612745,HOU,76,31.5,7.5,15.0,0.496,0.3,1.2,0.233,3.9,5.6,0.692,3.4,6.9,10.3,4.9,1.1,0.8,2.6,19.1,30.0
203944,40,Julius Randle,1610612750,MIN,69,32.3,6.6,13.6,0.485,1.6,4.6,0.344,3.9,4.9,0.806,2.1,5.0,7.1,4.7,0.7,0.2,2.8,18.7,25.4
1630169,41,Tyrese Haliburton,1610612754,IND,73,33.6,6.5,13.8,0.473,3.0,7.7,0.388,2.6,3.0,0.851,0.6,3.0,3.5,9.2,1.4,0.7,1.6,18.6,27.2
1631101,42,Shaedon Sharpe,1610612757,POR,72,31.3,6.9,15.3,0.452,2.0,6.6,0.311,2.6,3.4,0.785,0.9,3.6,4.5,2.8,0.9,0.2,2.1,18.5,19.0
1630596,43,Evan Mobley,1610612739,CLE,71,30.5,7.1,12.8,0.557,1.2,3.2,0.37,3.1,4.3,0.725,2.3,7.0,9.3,3.2,0.9,1.6,2.0,18.5,28.9
202696,44,Nikola Vučević,1610612741,CHI,73,31.2,7.5,14.2,0.53,1.8,4.4,0.402,1.6,2.0,0.805,2.4,7.6,10.1,3.5,0.8,0.7,1.6,18.5,26.9
1629012,45,Collin Sexton,1610612762,UTA,63,27.9,6.6,13.8,0.48,1.7,4.3,0.406,3.4,4.0,0.865,1.0,1.8,2.7,4.2,0.7,0.1,2.5,18.4,19.9
1629008,46,Michael Porter Jr.,1610612743,DEN,77,33.7,6.9,13.6,0.504,2.5,6.4,0.395,1.9,2.5,0.768,1.8,5.2,7.0,2.1,0.6,0.5,1.4,18.2,22.3
1628389,47,Bam Adebayo,1610612748,MIA,78,34.3,6.9,14.3,0.485,1.0,2.8,0.357,3.2,4.2,0.765,2.4,7.2,9.6,4.3,1.3,0.7,2.1,18.1,27.7
1628384,48,OG Anunoby,1610612752,NYK,74,36.6,6.6,13.9,0.476,2.3,6.2,0.372,2.5,3.1,0.81,1.3,3.5,4.8,2.2,1.5,0.9,1.4,18.0,21.2
203952,49,Andrew Wiggins,1610612748,MIA,120,30.7,6.3,14.0,0.448,2.2,5.8,0.374,3.3,4.3,0.763,1.5,3.0,4.5,2.6,1.0,0.8,1.7,18.0,20.8
1628969,50,Mikal Bridges,1610612752,NYK,82,37.0,7.2,14.4,0.5,2.0,5.6,0.354,1.2,1.4,0.814,0.9,2.3,3.2,3.7,0.9,0.5,1.6,17.6,18.3
1628370,51,Malik Monk,1610612758,SAC,65,31.6,6.3,14.4,0.439,2.1,6.6,0.325,2.4,2.7,0.865,0.5,3.3,3.8,5.6,0.9,0.6,2.4,17.2,19.8
